Product Name,Generic Name,Company,Category,Strength,Pack Size,MRP,Selling Price,Stock,Batch Number,Expiry Date,Image URL
Parasitin,Ivermectin,"Square Pharmaceuticals PLC, Pabna",Injection,1 gm/100 ml,,,,,,,
Aclitol Cozycap,Aclidinium Bromide + Formoterol Fumarate Dihydrate,"Square Pharmaceuticals PLC, Pabna",Capsule,400 mcg + 12 mcg,,,,,,,
Flexilax Oral Solution,Baclofen,"Square Pharmaceuticals PLC, Pabna",Syrup,100 mg/100 ml,,,,,,,
Camlotor,Amlodipine + Atorvastatin,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg + 10 mg,,,,,,,
Adryl,Diphenhydramine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Syrup,10 mg/5 ml,,,,,,,
Hivarif,Lamivudine,"Square Pharmaceuticals PLC, Pabna",Tablet,150 mg,,,,,,,
Olmecar,Olmesartan Medoxomil,"Square Pharmaceuticals PLC, Pabna",Tablet,40 mg,,,,,,,
Trupan,Pantoprazole,"Square Pharmaceuticals PLC, Pabna",Tablet,40 mg,,,,,,,
Bismacid,Bismuth Subcitrate,"Square Pharmaceuticals PLC, Pabna",Tablet,120 mg,,,,,,,
Antazol,Sodium Cromoglycate + Xylometazoline Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Nasal Drops,2 gm + 25 mg/100 ml,,,,,,,
Floricol - vet,Florfenicol,"Square Pharmaceuticals PLC, Pabna",Oral Solution,20 gm/100 ml,,,,,,,
E-Sel Solution,Sodium Selenate + Vitamin E,"Square Pharmaceuticals PLC, Pabna",Oral Solution,50 mg + 10 gm/100 ml,,,,,,,
Maxrin D,Dutasteride + Tamsulosin Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Capsule,500 mcg + 400 mcg,,,,,,,
Alice Lotion,Ivermectin,"Square Pharmaceuticals PLC, Pabna",Lotion,500 mg/100 gm,,,,,,,
Flexilax,Baclofen,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Vardamate 10,Vardenafil Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Flexilax,Baclofen,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Maxcef,Cefotaxime,"Square Pharmaceuticals PLC, Pabna",IV/IM Injection,250 mg/vial,,,,,,,
Rex,Betacarotene + Vitamin C + Vitamin E,"Square Pharmaceuticals PLC, Pabna",Tablet,6 mg + 200 mg + 50 mg,,,,,,,
Safyron,Dydrogesterone,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
